Student ID,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,Average Grade,Labs Completed
20743976,0.0,100.0,100.0,64.0,96.0,49.0,75.0,88.0,80.0,0.0,65.2,8
94334509,100.0,100.0,100.0,0.0,100.0,100.0,53.0,70.0,0.0,0.0,62.3,7
36814683,15.0,85.0,57.0,63.0,69.0,90.0,50.0,62.0,22.0,100.0,61.3,10
32670174,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1
54183175,0.0,28.0,0.0,0.0,82.0,23.0,82.0,85.0,63.0,0.0,36.3,6
40300574,100.0,78.0,97.0,90.0,80.0,78.0,50.0,41.0,85.0,100.0,79.9,10
73381689,23.0,82.0,80.0,60.0,75.0,76.0,61.0,100.0,85.0,30.0,67.2,10
70246117,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
61412453,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
66723966,95.0,0.0,44.0,28.0,43.0,56.0,42.0,55.0,43.0,80.0,48.6,9
98615098,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,25.0,43.0,85.8,10
12584561,100.0,86.0,100.0,79.0,59.0,77.0,20.0,54.0,50.0,86.0,71.1,10
13148647,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
52689053,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,0.0,43.0,80.3,9
73496760,100.0,97.0,56.0,80.0,63.0,77.0,79.0,95.0,100.0,67.0,81.4,10
98726176,100.0,98.0,100.0,100.0,90.0,88.0,62.0,18.0,0.0,100.0,75.6,9
41115870,100.0,70.0,89.0,67.0,18.0,94.0,32.0,20.0,0.0,0.0,49.0,8
89490222,50.0,100.0,100.0,93.0,61.0,73.0,25.0,59.0,50.0,73.0,68.4,10
35239168,100.0,99.0,100.0,35.0,78.0,67.0,60.0,100.0,50.0,100.0,78.9,10
50419199,100.0,38.0,0.0,51.0,21.0,0.0,0.0,30.0,0.0,0.0,24.0,5
60813480,0.0,48.0,0.0,8.0,12.0,0.0,0.0,0.0,48.0,0.0,11.6,4
72623279,0.0,27.0,55.0,35.0,0.0,0.0,51.0,17.0,31.0,0.0,21.6,6
46159542,100.0,87.0,100.0,76.0,71.0,97.0,20.0,20.0,0.0,0.0,57.1,8
31775286,100.0,100.0,100.0,73.0,81.0,0.0,44.0,48.0,0.0,0.0,54.6,7
75163235,48.0,6.0,56.0,6.0,13.0,33.0,10.0,45.0,0.0,0.0,21.7,8
53637669,100.0,100.0,100.0,100.0,88.0,94.0,89.0,78.0,0.0,100.0,84.9,9
59715668,63.0,40.0,100.0,69.0,18.0,0.0,0.0,0.0,0.0,0.0,29.0,5
20679724,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2
88261711,88.0,50.0,53.0,66.0,12.0,71.0,11.0,24.0,10.0,4.0,38.9,10
75637165,100.0,90.0,100.0,66.0,79.0,51.0,46.0,84.0,50.0,97.0,76.3,10
64549122,100.0,100.0,100.0,90.0,100.0,100.0,80.0,68.0,80.0,100.0,91.8,10
42153309,100.0,100.0,100.0,70.0,100.0,56.0,18.0,50.0,0.0,0.0,59.4,8
10288456,0.0,0.0,0.0,0.0,0.0,48.0,39.0,88.0,30.0,61.0,26.6,5
18320642,100.0,100.0,56.0,38.0,42.0,67.0,26.0,30.0,53.0,51.0,56.3,10
25992894,50.0,98.0,78.0,65.0,24.0,56.0,48.0,28.0,90.0,16.0,55.3,10
51315077,100.0,63.0,91.0,70.0,82.0,77.0,84.0,100.0,25.0,100.0,79.2,10
45873056,100.0,100.0,100.0,100.0,73.0,100.0,10.0,100.0,100.0,0.0,78.3,9
61329673,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
99218881,100.0,100.0,100.0,100.0,91.0,100.0,60.0,100.0,100.0,43.0,89.4,10
81734132,80.0,50.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,3
17513375,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
95975416,100.0,81.0,100.0,50.0,32.0,22.0,10.0,0.0,0.0,0.0,39.5,7
85696727,50.0,100.0,54.0,100.0,100.0,83.0,100.0,100.0,100.0,100.0,88.7,10
64609448,100.0,55.0,82.0,20.0,32.0,60.0,20.0,60.0,0.0,60.0,48.9,9
81957314,88.0,44.0,84.0,98.0,93.0,56.0,48.0,50.0,79.0,31.0,67.1,10
78534290,100.0,100.0,100.0,86.0,91.0,93.0,81.0,100.0,80.0,100.0,93.1,10
56634669,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
51204596,100.0,55.0,92.0,50.0,53.0,88.0,76.0,100.0,83.0,100.0,79.7,10
49784910,0.0,50.0,0.0,40.0,28.0,62.0,49.0,66.0,0.0,100.0,39.5,7
27325452,100.0,80.0,100.0,55.0,71.0,54.0,35.0,74.0,0.0,0.0,56.9,8
58887597,100.0,100.0,100.0,99.0,94.0,56.0,76.0,88.0,0.0,100.0,81.3,9
53905435,100.0,40.0,100.0,73.0,49.0,100.0,69.0,75.0,0.0,0.0,60.6,8
41707679,100.0,100.0,100.0,100.0,95.0,99.0,94.0,93.0,100.0,100.0,98.1,10
21585127,100.0,100.0,100.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,98.9,10
57005216,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1
99435901,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
95977109,61.0,80.0,61.0,41.0,50.0,77.0,22.0,64.0,0.0,17.0,47.3,9
96346768,75.0,76.0,95.0,70.0,93.0,89.0,90.0,93.0,93.0,80.0,85.4,10
49806843,75.0,80.0,100.0,78.0,78.0,67.0,29.0,18.0,25.0,0.0,55.0,9
42738772,100.0,80.0,6.0,0.0,23.0,0.0,5.0,2.0,0.0,0.0,21.6,6
94193537,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
94039775,100.0,40.0,89.0,76.0,47.0,33.0,28.0,40.0,0.0,0.0,45.3,8
16459971,50.0,36.0,54.0,87.0,0.0,31.0,20.0,10.0,65.0,50.0,40.3,9
69780409,100.0,30.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4
61553683,100.0,87.0,98.0,95.0,24.0,78.0,10.0,55.0,90.0,88.0,72.5,10
49312326,100.0,100.0,100.0,94.0,73.0,31.0,0.0,58.0,56.0,100.0,71.2,9
26013074,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,99.7,10
11720062,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,90.0,9
50301485,100.0,100.0,100.0,80.0,100.0,100.0,57.0,100.0,68.0,89.0,89.4,10
57814323,100.0,100.0,100.0,90.0,43.0,78.0,51.0,69.0,0.0,0.0,63.1,8
44424412,100.0,100.0,100.0,100.0,100.0,100.0,75.0,90.0,0.0,100.0,86.5,9
28993185,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1
59125777,100.0,100.0,100.0,100.0,92.0,94.0,85.0,79.0,0.0,99.0,84.9,9
51666805,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,98.0,10
81200570,100.0,80.0,100.0,100.0,100.0,100.0,84.0,100.0,100.0,0.0,86.4,9
13902965,100.0,100.0,89.0,71.0,61.0,56.0,62.0,88.0,0.0,0.0,62.7,8
35092169,88.0,100.0,67.0,70.0,55.0,89.0,85.0,100.0,85.0,100.0,83.9,10
16013789,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4
91435409,100.0,100.0,100.0,100.0,75.0,92.0,94.0,88.0,100.0,100.0,94.9,10
18772021,100.0,100.0,100.0,100.0,100.0,100.0,94.0,90.0,25.0,71.0,88.0,10
11280583,0.0,50.0,75.0,40.0,36.0,62.0,50.0,100.0,25.0,29.0,46.7,9
89516281,100.0,100.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.9,10
81811643,100.0,100.0,100.0,100.0,97.0,100.0,78.0,95.0,100.0,85.0,95.5,10
86703236,100.0,100.0,97.0,100.0,100.0,60.0,26.0,0.0,25.0,0.0,60.8,8
18884292,0.0,0.0,100.0,0.0,82.0,0.0,100.0,100.0,75.0,41.0,49.8,6
33737937,88.0,40.0,56.0,20.0,18.0,22.0,20.0,0.0,0.0,0.0,26.4,7
31664592,100.0,100.0,56.0,76.0,82.0,44.0,29.0,50.0,0.0,71.0,60.8,9
98168038,100.0,80.0,83.0,88.0,45.0,56.0,39.0,100.0,75.0,0.0,66.6,9
42120296,0.0,60.0,100.0,0.0,0.0,54.0,20.0,36.0,0.0,0.0,27.0,5
59897937,50.0,70.0,44.0,97.0,82.0,94.0,63.0,62.0,75.0,71.0,70.8,10
87098918,88.0,40.0,54.0,60.0,18.0,48.0,31.0,62.0,0.0,34.0,43.5,9
97998433,100.0,100.0,75.0,40.0,45.0,70.0,40.0,77.0,0.0,100.0,64.7,9
30166785,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
65958403,100.0,100.0,100.0,100.0,100.0,100.0,90.0,15.0,75.0,86.0,86.6,10
62605871,100.0,100.0,100.0,100.0,87.0,100.0,37.0,28.0,0.0,22.0,67.4,9
55973104,50.0,100.0,100.0,95.0,91.0,100.0,71.0,50.0,0.0,100.0,75.7,9
62220404,100.0,100.0,100.0,100.0,100.0,56.0,80.0,100.0,100.0,43.0,87.9,10
94651334,0.0,100.0,100.0,100.0,100.0,100.0,58.0,100.0,0.0,100.0,75.8,8
50640627,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
21002121,100.0,52.0,100.0,90.0,83.0,67.0,42.0,55.0,0.0,0.0,58.9,8
30993222,100.0,70.0,100.0,89.0,53.0,100.0,10.0,70.0,100.0,86.0,77.8,10
60182001,100.0,100.0,78.0,74.0,78.0,100.0,94.0,88.0,100.0,100.0,91.2,10
51596177,100.0,85.0,78.0,100.0,82.0,100.0,35.0,100.0,100.0,100.0,88.0,10
29795251,100.0,100.0,75.0,80.0,100.0,100.0,74.0,90.0,100.0,100.0,91.9,10
98067951,100.0,90.0,100.0,60.0,91.0,56.0,100.0,70.0,100.0,100.0,86.7,10
44259391,0.0,78.0,44.0,100.0,73.0,95.0,0.0,85.0,10.0,0.0,48.5,7
36458945,75.0,80.0,56.0,40.0,75.0,100.0,83.0,88.0,65.0,43.0,70.5,10
29444926,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
88962100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
28355991,0.0,100.0,56.0,80.0,0.0,71.0,15.0,0.0,0.0,0.0,32.2,5
57325329,50.0,50.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,4
61051356,100.0,100.0,100.0,100.0,99.0,100.0,90.0,100.0,0.0,100.0,88.9,9
82554050,100.0,100.0,100.0,71.0,97.0,100.0,84.0,88.0,90.0,99.0,92.9,10
53679865,100.0,100.0,100.0,100.0,82.0,100.0,100.0,100.0,100.0,100.0,98.2,10
54272087,100.0,25.0,94.0,69.0,72.0,94.0,28.0,35.0,0.0,100.0,61.7,9
70486795,100.0,100.0,100.0,40.0,34.0,85.0,75.0,74.0,0.0,100.0,70.8,9
68439715,100.0,100.0,84.0,99.0,88.0,76.0,64.0,88.0,80.0,0.0,77.9,9
28916910,100.0,100.0,100.0,100.0,73.0,67.0,35.0,80.0,0.0,0.0,65.5,8
72692928,38.0,18.0,18.0,40.0,6.0,0.0,26.0,0.0,0.0,0.0,14.6,6
39812656,100.0,100.0,100.0,58.0,100.0,100.0,100.0,100.0,80.0,100.0,93.8,10
42687541,100.0,74.0,100.0,0.0,49.0,78.0,46.0,60.0,100.0,100.0,70.7,9
91016743,100.0,100.0,100.0,100.0,92.0,78.0,87.0,88.0,100.0,100.0,94.5,10
71058846,96.0,100.0,22.0,100.0,100.0,87.0,60.0,0.0,0.0,43.0,60.8,8
22105353,100.0,100.0,100.0,100.0,51.0,82.0,56.0,40.0,50.0,100.0,77.9,10
70086521,50.0,99.0,100.0,82.0,89.0,100.0,53.0,95.0,68.0,63.0,79.9,10
10700295,100.0,88.0,100.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7,4
44013913,90.0,100.0,100.0,70.0,100.0,78.0,40.0,90.0,0.0,43.0,71.1,9
73625555,100.0,97.0,56.0,62.0,100.0,100.0,98.0,80.0,10.0,100.0,80.3,10
77471025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,100.0,92.5,10
37720912,50.0,100.0,100.0,4.0,82.0,100.0,72.0,100.0,100.0,100.0,80.8,10
45990970,88.0,60.0,67.0,0.0,24.0,56.0,12.0,0.0,50.0,71.0,42.8,8
12230549,50.0,97.0,100.0,88.0,76.0,73.0,69.0,88.0,0.0,0.0,64.1,8
99046614,100.0,100.0,97.0,100.0,95.0,100.0,75.0,95.0,100.0,100.0,96.2,10
19880196,100.0,10.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,3
67413804,99.0,48.0,100.0,59.0,23.0,31.0,29.0,60.0,6.0,0.0,45.5,9
92244107,100.0,73.0,100.0,100.0,68.0,61.0,85.0,59.0,100.0,0.0,74.6,9
90239774,100.0,97.0,100.0,100.0,64.0,78.0,70.0,100.0,100.0,100.0,90.9,10
93947522,0.0,0.0,0.0,57.0,0.0,6.0,15.0,0.0,0.0,0.0,7.8,3
14532650,100.0,100.0,100.0,56.0,89.0,67.0,95.0,50.0,25.0,100.0,78.2,10
99403012,100.0,100.0,100.0,100.0,91.0,100.0,90.0,100.0,100.0,100.0,98.1,10
52701053,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,99.6,10
64723117,92.0,20.0,100.0,48.0,37.0,33.0,5.0,52.0,0.0,57.0,44.4,9
57282663,50.0,40.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,18.2,3
72729148,96.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,89.6,9
29195474,50.0,49.0,46.0,10.0,7.0,51.0,23.0,29.0,70.0,24.0,35.9,10
83496795,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
64316426,100.0,100.0,100.0,100.0,88.0,100.0,100.0,100.0,100.0,100.0,98.8,10
39518199,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1
78735752,100.0,100.0,100.0,100.0,100.0,89.0,100.0,100.0,100.0,100.0,98.9,10
72056551,100.0,100.0,100.0,100.0,100.0,100.0,72.0,94.0,100.0,100.0,96.6,10
47380529,100.0,90.0,22.0,80.0,72.0,0.0,21.0,70.0,0.0,0.0,45.5,7
16238312,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,99.0,10
83078402,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
30717488,100.0,100.0,100.0,80.0,100.0,100.0,90.0,100.0,100.0,86.0,95.6,10
56472638,100.0,100.0,100.0,100.0,100.0,93.0,87.0,100.0,100.0,100.0,98.0,10
68074530,100.0,86.0,100.0,76.0,20.0,30.0,40.0,70.0,25.0,58.0,60.5,10
94998106,90.0,100.0,56.0,100.0,100.0,56.0,100.0,100.0,60.0,100.0,86.2,10
75640034,0.0,100.0,100.0,20.0,37.0,52.0,24.0,75.0,100.0,100.0,60.8,9
64734377,50.0,100.0,56.0,86.0,64.0,67.0,25.0,61.0,100.0,55.0,66.4,10
44513932,100.0,100.0,100.0,100.0,100.0,56.0,100.0,60.0,0.0,100.0,81.6,9
34164438,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,99.0,10
74247101,50.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,0.0,86.0,83.2,9
37861048,25.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,2
40963132,100.0,100.0,100.0,0.0,100.0,0.0,63.0,59.0,0.0,86.0,60.8,7
22290486,100.0,100.0,100.0,100.0,36.0,87.0,62.0,100.0,100.0,86.0,87.1,10
92536739,100.0,100.0,100.0,73.0,64.0,72.0,65.0,100.0,0.0,100.0,77.4,9
96631030,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,99.7,10
30851750,61.0,100.0,89.0,100.0,96.0,56.0,37.0,60.0,0.0,41.0,64.0,9
11968244,100.0,0.0,55.0,100.0,36.0,0.0,0.0,0.0,0.0,0.0,29.1,4
82500610,100.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.8,3
33021789,100.0,100.0,100.0,90.0,26.0,44.0,33.0,70.0,25.0,100.0,68.8,10
89070671,100.0,100.0,100.0,100.0,83.0,100.0,68.0,94.0,100.0,100.0,94.5,10
14804335,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,98.0,10
65115725,0.0,0.0,99.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,2
72777338,100.0,100.0,100.0,88.0,100.0,100.0,100.0,100.0,75.0,100.0,96.3,10
41860313,100.0,90.0,100.0,77.0,74.0,92.0,100.0,100.0,0.0,57.0,79.0,9
76691322,100.0,100.0,100.0,66.0,0.0,100.0,38.0,40.0,0.0,83.0,62.7,8
