Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester,max_consecutive_misses
73572610,100.0,2,0.0,65.95,0.2,0
73618759,100.0,2,0.0,38.01,0.2,0
73630812,100.0,2,0.0,51.26,0.2,0
74105407,100.0,2,0.0,64.79,0.2,0
75611314,100.0,2,0.0,54.56,0.2,0
75801763,100.0,2,0.0,38.86,0.2,0
75858315,50.0,1,0.0,92.28,0.2,1
76060642,100.0,2,0.0,37.89,0.2,0
76391613,100.0,2,0.0,46.22,0.2,0
76507076,100.0,2,0.0,86.63,0.2,0
76647396,76.17,2,-47.67,35.52,0.2,0
77289994,100.0,2,0.0,41.03,0.2,0
77340750,100.0,2,0.0,67.41,0.2,0
77384796,100.0,2,0.0,90.96,0.2,0
77444126,96.5,2,-7.0,46.53,0.2,0
77494200,82.33,2,-35.33,90.54,0.2,0
78031580,100.0,2,0.0,45.6,0.2,0
78406188,100.0,2,0.0,96.31,0.2,0
78552900,100.0,2,0.0,96.96,0.2,0
78950607,100.0,2,0.0,75.61,0.2,0
79821067,100.0,2,0.0,65.89,0.2,0
79951192,100.0,2,0.0,53.13,0.2,0
80150997,100.0,2,0.0,40.92,0.2,0
80531466,91.67,2,-16.67,93.88,0.2,0
80606648,100.0,2,0.0,45.0,0.2,0
80760183,100.0,2,0.0,20.54,0.2,0
81569837,100.0,2,0.0,58.22,0.2,0
81706345,100.0,2,0.0,26.4,0.2,0
81741765,100.0,2,0.0,32.27,0.2,0
82066010,89.92,2,1.83,79.62,0.2,0
82519651,97.42,2,-5.17,80.77,0.2,0
83974048,95.0,2,-10.0,56.86,0.2,0
83982103,73.75,2,-52.5,86.75,0.2,0
84073928,100.0,2,0.0,22.07,0.2,0
84323262,100.0,2,0.0,56.89,0.2,0
84693627,40.0,1,0.0,59.7,0.2,1
85432232,100.0,2,0.0,20.51,0.2,0
85952204,100.0,2,0.0,73.19,0.2,0
86450552,100.0,2,0.0,13.19,0.2,0
86480267,100.0,2,0.0,85.73,0.2,0
86657420,100.0,2,0.0,40.49,0.2,0
86964735,100.0,2,0.0,67.16,0.2,0
87089812,100.0,2,0.0,32.27,0.2,0
87636498,100.0,2,0.0,45.55,0.2,0
87682575,99.58,2,-0.83,62.05,0.2,0
88408595,100.0,2,0.0,46.98,0.2,0
88423574,100.0,2,0.0,90.56,0.2,0
89517857,96.67,2,-6.67,78.23,0.2,0
89951309,87.5,2,-25.0,37.05,0.2,0
90272423,100.0,2,0.0,20.69,0.2,0
90613617,100.0,2,0.0,70.64,0.2,0
90665092,100.0,2,0.0,30.98,0.2,0
90743782,83.33,2,6.67,71.04,0.2,0
91262897,82.5,2,-35.0,55.7,0.2,0
91935699,97.5,2,5.0,74.05,0.2,0
92303132,91.67,2,-16.67,86.32,0.2,0
92809990,100.0,2,0.0,32.39,0.2,0
93133026,100.0,2,0.0,21.81,0.2,0
93489080,100.0,2,0.0,49.4,0.2,0
93682429,50.0,1,0.0,92.0,0.2,1
93786510,65.57,2,-52.47,91.09,0.2,0
93915612,100.0,2,0.0,83.61,0.2,0
93925509,100.0,2,0.0,55.08,0.2,0
93973341,91.67,2,-16.67,80.8,0.2,0
95216424,100.0,2,0.0,26.17,0.2,0
95575949,100.0,2,0.0,58.04,0.2,0
95770014,78.13,2,-26.93,96.68,0.2,0
96135262,100.0,2,0.0,6.81,0.2,0
96398572,100.0,2,0.0,61.58,0.2,0
96706041,100.0,2,0.0,54.66,0.2,0
96792723,97.0,2,6.0,46.04,0.2,0
97192893,100.0,2,0.0,34.14,0.2,0
97811465,100.0,2,0.0,27.6,0.2,0
98417175,90.83,2,-18.33,47.92,0.2,0
98524573,100.0,2,0.0,70.44,0.2,0
99057590,100.0,2,0.0,79.45,0.2,0
99355503,100.0,2,0.0,91.6,0.2,0
99911171,0.0,0,0.0,100.0,0.2,2
11344540,100.0,3,0.0,42.15,0.3,0
11415937,89.05,3,-32.86,86.73,0.3,0
11619654,97.14,3,-8.57,27.38,0.3,0
12237308,100.0,3,0.0,40.22,0.3,0
13434594,95.24,3,-14.29,56.41,0.3,0
13489175,100.0,3,0.0,20.13,0.3,0
13584790,90.95,3,-27.14,49.04,0.3,0
14700855,93.81,3,-18.57,38.9,0.3,0
14859968,50.5,3,-74.91,87.55,0.3,0
16052899,93.24,3,-20.29,71.44,0.3,0
16112416,100.0,3,0.0,29.25,0.3,0
16153010,100.0,3,0.0,36.7,0.3,0
16367724,85.71,3,-42.86,60.94,0.3,0
16650465,89.05,3,-32.86,57.44,0.3,0
16729597,68.93,3,-75.71,81.59,0.3,0
17186416,100.0,3,0.0,52.87,0.3,0
17369011,92.76,3,-21.71,49.65,0.3,0
17650346,95.24,3,-14.29,60.35,0.3,0
17954135,93.24,3,-20.29,50.54,0.3,0
18021763,100.0,3,0.0,64.53,0.3,0
18237587,65.0,2,-5.0,65.94,0.3,1
18256197,95.24,3,-14.29,44.93,0.3,0
18835220,87.26,3,-35.71,73.98,0.3,0
18864892,100.0,3,0.0,55.96,0.3,0
19236487,41.0,2,77.0,32.2,0.3,1
19304298,97.86,3,-6.43,38.94,0.3,0
19514933,90.48,3,-28.57,58.95,0.3,0
19516358,100.0,3,0.0,17.37,0.3,0
19546495,89.88,3,-27.86,45.85,0.3,0
19581852,70.48,3,-88.57,58.15,0.3,0
19758663,100.0,3,0.0,31.52,0.3,0
20031894,100.0,3,0.0,43.95,0.3,0
20203060,92.76,3,-21.71,64.8,0.3,0
20534390,93.81,3,-18.57,65.4,0.3,0
20774325,89.05,3,-32.86,71.72,0.3,0
21399574,98.1,3,-5.71,42.51,0.3,0
22069035,94.96,3,-14.29,42.03,0.3,0
22305824,100.0,3,0.0,20.08,0.3,0
22771717,0.0,0,0.0,43.16,0.3,3
23223428,79.37,3,-28.57,85.95,0.3,0
23706913,97.14,3,-8.57,63.08,0.3,0
24051593,96.67,3,-10.0,65.61,0.3,0
24264303,100.0,3,0.0,47.44,0.3,0
24602305,0.0,0,0.0,92.3,0.3,3
24667465,100.0,3,0.0,34.37,0.3,0
24774049,96.67,3,-10.0,35.83,0.3,0
24829216,96.19,3,-11.43,42.45,0.3,0
24925539,100.0,3,0.0,16.91,0.3,0
25053710,99.05,3,-2.86,30.94,0.3,0
25199098,90.48,3,-28.57,49.57,0.3,0
25591540,66.67,2,0.0,85.26,0.3,1
25624838,100.0,3,0.0,49.3,0.3,0
26550709,88.1,3,-35.71,49.29,0.3,0
26822069,100.0,3,0.0,29.63,0.3,0
26823453,100.0,3,0.0,52.32,0.3,0
26829717,100.0,3,0.0,57.11,0.3,0
27183343,94.67,3,-4.0,65.52,0.3,0
27219633,93.81,3,-18.57,39.89,0.3,0
27227646,85.48,3,-43.57,53.07,0.3,0
27276779,100.0,3,0.0,24.01,0.3,0
27811787,100.0,3,0.0,25.1,0.3,0
27821042,100.0,3,0.0,23.78,0.3,0
28157718,87.59,3,-28.57,88.5,0.3,0
28747258,86.03,3,-8.57,22.8,0.3,0
28851363,100.0,3,0.0,31.63,0.3,0
29180761,80.76,3,-55.71,74.93,0.3,0
29219341,100.0,3,0.0,21.08,0.3,0
29238104,100.0,3,0.0,2.88,0.3,0
29619407,81.75,3,-18.46,75.52,0.3,0
29965095,97.62,3,-7.14,33.03,0.3,0
30245378,84.57,3,-44.29,40.04,0.3,0
30404921,100.0,3,0.0,31.36,0.3,0
30574788,66.67,2,0.0,98.0,0.3,1
30659534,83.52,3,-49.43,58.12,0.3,0
30938596,93.81,3,-18.57,47.07,0.3,0
31044070,85.33,3,-44.0,54.25,0.3,0
31288217,93.81,3,-18.57,41.94,0.3,0
31331355,95.24,3,-14.29,79.35,0.3,0
31466812,89.64,3,-28.57,60.92,0.3,0
31483285,98.57,3,-4.29,47.25,0.3,0
31604156,98.57,3,-4.29,72.87,0.3,0
31619745,100.0,3,0.0,72.7,0.3,0
31655246,97.14,3,-8.57,76.71,0.3,0
31707417,71.84,3,-43.14,78.73,0.3,0
31783869,83.57,3,-49.29,67.87,0.3,0
31870945,96.67,3,-10.0,58.27,0.3,0
32050733,99.05,3,-2.86,47.44,0.3,0
32199265,95.24,3,-14.29,35.25,0.3,0
32202479,57.6,3,8.14,81.46,0.3,0
32534085,89.92,3,-28.57,69.31,0.3,0
32634975,57.68,3,-45.17,85.28,0.3,0
32712383,95.24,3,-14.29,60.73,0.3,0
32751216,98.1,3,-5.71,41.19,0.3,0
32779192,41.9,2,-74.29,97.0,0.3,1
32973698,100.0,3,0.0,11.26,0.3,0
33025706,84.5,3,-35.0,67.02,0.3,0
33584628,95.71,3,-12.86,74.73,0.3,0
34026803,42.84,3,-57.14,90.16,0.3,0
34085243,92.0,3,-24.0,87.35,0.3,0
34106098,66.39,2,-0.83,62.8,0.3,1
34435608,43.33,2,-30.0,96.92,0.3,1
34534147,71.43,3,-85.71,74.94,0.3,0
34826933,100.0,3,0.0,40.9,0.3,0
34836465,100.0,3,0.0,26.53,0.3,0
35195294,99.72,3,0.0,22.09,0.3,0
35228724,71.43,3,-85.71,84.41,0.3,0
35638989,95.24,3,-14.29,82.49,0.3,0
35693299,98.57,3,-4.29,62.61,0.3,0
35961483,100.0,3,0.0,70.23,0.3,0
36207660,100.0,3,0.0,35.63,0.3,0
36559567,84.76,3,-45.71,65.8,0.3,0
37615874,95.24,3,-14.29,59.83,0.3,0
37802285,79.52,3,-61.43,37.64,0.3,0
37949742,98.57,3,-4.29,72.99,0.3,0
39057051,90.0,3,-30.0,70.81,0.3,0
39072447,68.1,3,-45.71,60.91,0.3,0
39591036,33.33,1,0.0,99.0,0.3,2
39671270,68.57,3,-94.29,65.9,0.3,0
40745362,100.0,3,0.0,47.58,0.3,0
41018065,42.86,2,-71.43,86.09,0.3,1
41238410,96.67,3,-10.0,77.71,0.3,0
41238817,100.0,3,0.0,71.72,0.3,0
41392674,79.37,3,-28.57,71.61,0.3,0
41437101,100.0,3,0.0,31.5,0.3,0
41749388,100.0,3,0.0,16.93,0.3,0
41886521,100.0,3,0.0,14.78,0.3,0
42625208,78.97,3,-46.43,45.02,0.3,0
42705350,95.14,3,-2.57,64.08,0.3,0
42843256,100.0,3,0.0,24.29,0.3,0
43867886,93.33,3,20.0,58.51,0.3,0
44140322,91.43,3,-25.71,65.25,0.3,0
44415509,91.9,3,-24.29,46.85,0.3,0
44435353,81.9,3,-54.29,47.41,0.3,0
44697524,90.48,3,-28.57,74.29,0.3,0
45239869,88.33,3,-35.0,58.12,0.3,0
45411597,89.05,3,-32.86,78.35,0.3,0
45581496,95.24,3,-14.29,37.82,0.3,0
46089625,83.62,3,-49.14,76.36,0.3,0
46149948,89.05,3,-32.86,39.47,0.3,0
46298750,99.05,3,-2.86,64.62,0.3,0
47053476,100.0,3,0.0,30.94,0.3,0
47812491,71.52,3,38.69,57.89,0.3,0
48064815,90.63,3,-11.43,43.44,0.3,0
48200382,60.32,3,-85.71,92.67,0.3,0
48342530,82.38,3,-52.86,73.38,0.3,0
48536684,100.0,3,0.0,18.05,0.3,0
49306699,80.12,3,-19.17,86.69,0.3,0
49456196,100.0,3,0.0,34.54,0.3,0
51597404,100.0,3,0.0,15.14,0.3,0
51748245,100.0,3,0.0,30.7,0.3,0
52010981,79.6,3,-52.86,74.01,0.3,0
52139328,100.0,3,0.0,36.89,0.3,0
52796411,60.75,3,-33.57,60.69,0.3,0
52819296,90.48,3,-28.57,67.73,0.3,0
52889027,100.0,3,0.0,32.08,0.3,0
53522318,81.51,3,-27.14,63.05,0.3,0
53690948,96.19,3,-11.43,58.59,0.3,0
53990039,88.92,3,-24.57,63.31,0.3,0
54179437,74.76,3,-75.71,54.58,0.3,0
54721717,90.48,3,-28.57,82.55,0.3,0
55057476,89.52,3,-31.43,40.54,0.3,0
55480169,90.48,3,-28.57,41.39,0.3,0
56823431,71.43,3,-85.71,75.41,0.3,0
57558661,99.05,3,-2.86,29.81,0.3,0
57809216,100.0,3,0.0,30.15,0.3,0
58041923,83.81,3,-48.57,84.25,0.3,0
58548383,91.43,3,-25.71,44.75,0.3,0
59163655,0.0,0,0.0,100.0,0.3,3
59471439,97.62,3,-7.14,65.33,0.3,0
59981065,100.0,3,0.0,32.11,0.3,0
60270104,96.19,3,-11.43,39.84,0.3,0
60401339,90.48,3,-28.57,78.54,0.3,0
60742408,97.14,3,-8.57,36.67,0.3,0
60851962,85.71,3,-42.86,80.33,0.3,0
62722675,85.71,3,-42.86,58.43,0.3,0
63660864,91.9,3,-24.29,29.97,0.3,0
64169635,90.48,3,-28.57,47.71,0.3,0
64481181,100.0,3,0.0,20.42,0.3,0
64732981,97.62,3,-7.14,36.13,0.3,0
65519433,100.0,3,0.0,42.89,0.3,0
66057568,89.62,3,-31.14,80.3,0.3,0
67581864,85.95,3,-42.14,81.28,0.3,0
67765245,98.33,3,5.0,56.76,0.3,0
68170960,69.97,3,-53.49,73.32,0.3,0
68533762,100.0,3,0.0,35.44,0.3,0
68760886,100.0,3,0.0,44.03,0.3,0
68912516,90.48,3,-28.57,26.26,0.3,0
69106380,70.48,3,-88.57,72.21,0.3,0
69577575,73.19,3,-62.43,29.42,0.3,0
69615067,100.0,3,0.0,42.88,0.3,0
69766313,97.14,3,-8.57,24.03,0.3,0
69974518,79.43,3,-49.71,53.47,0.3,0
70068685,55.38,3,-50.91,75.99,0.3,0
70207680,64.76,3,-55.71,97.41,0.3,0
70210436,93.57,3,-19.29,69.42,0.3,0
70467155,100.0,3,0.0,46.36,0.3,0
70494079,95.24,3,-14.29,44.27,0.3,0
70532804,81.27,3,-22.86,60.68,0.3,0
70741130,83.81,3,-48.57,68.24,0.3,0
71074830,96.67,3,-10.0,73.26,0.3,0
71347202,77.95,3,-54.14,65.02,0.3,0
71714132,95.24,3,-14.29,72.83,0.3,0
71745365,72.84,3,-28.14,90.6,0.3,0
71897140,100.0,3,0.0,78.2,0.3,0
73316563,90.48,3,-28.57,48.44,0.3,0
73368913,61.9,2,-14.29,37.21,0.3,1
73572610,91.05,3,-26.86,65.95,0.3,0
73618759,100.0,3,0.0,38.01,0.3,0
73630812,96.57,3,-10.29,51.26,0.3,0
74105407,99.05,3,-2.86,64.79,0.3,0
75611314,89.29,3,-32.14,54.56,0.3,0
75801763,92.38,3,-22.86,38.86,0.3,0
75858315,33.33,1,0.0,92.28,0.3,2
76060642,86.19,3,-41.43,37.89,0.3,0
76391613,93.48,3,-19.57,46.22,0.3,0
76507076,90.48,3,-28.57,86.63,0.3,0
76647396,69.59,3,-43.57,35.52,0.3,0
77289994,91.81,3,-24.57,41.03,0.3,0
77340750,97.86,3,-6.43,67.41,0.3,0
77384796,76.67,3,-70.0,90.96,0.3,0
77444126,79.67,3,-54.0,46.53,0.3,0
77494200,68.22,3,-60.0,90.54,0.3,0
78031580,97.14,3,-8.57,45.6,0.3,0
78406188,89.52,3,-31.43,96.31,0.3,0
78552900,100.0,3,0.0,96.96,0.3,0
78950607,100.0,3,0.0,75.61,0.3,0
79821067,78.33,3,-65.0,65.89,0.3,0
79951192,100.0,3,0.0,53.13,0.3,0
80150997,100.0,3,0.0,40.92,0.3,0
80531466,63.97,3,-91.43,93.88,0.3,0
80606648,100.0,3,0.0,45.0,0.3,0
80760183,100.0,3,0.0,20.54,0.3,0
81569837,100.0,3,0.0,58.22,0.3,0
81706345,96.19,3,-11.43,26.4,0.3,0
81741765,95.24,3,-14.29,32.27,0.3,0
82066010,81.85,3,-23.29,79.62,0.3,0
82519651,93.99,3,-12.86,80.77,0.3,0
83974048,83.1,3,-40.71,56.86,0.3,0
83982103,56.31,3,-78.57,86.75,0.3,0
84073928,95.24,3,-14.29,22.07,0.3,0
84323262,99.05,3,-2.86,56.89,0.3,0
84693627,26.67,1,0.0,59.7,0.3,2
85432232,99.05,3,-2.86,20.51,0.3,0
85952204,95.24,3,-14.29,73.19,0.3,0
86450552,100.0,3,0.0,13.19,0.3,0
86480267,90.48,3,-28.57,85.73,0.3,0
86657420,100.0,3,0.0,40.49,0.3,0
86964735,96.19,3,-11.43,67.16,0.3,0
87089812,96.67,3,-10.0,32.27,0.3,0
87636498,80.95,3,-57.14,45.55,0.3,0
87682575,77.34,3,-67.14,62.05,0.3,0
88408595,92.19,3,-23.43,46.98,0.3,0
88423574,87.14,3,-38.57,90.56,0.3,0
89517857,86.35,3,-34.29,78.23,0.3,0
89951309,77.38,3,-42.86,37.05,0.3,0
90272423,100.0,3,0.0,20.69,0.3,0
90613617,90.48,3,-28.57,70.64,0.3,0
90665092,100.0,3,0.0,30.98,0.3,0
90743782,69.84,3,-37.14,71.04,0.3,0
91262897,84.52,3,-11.43,55.7,0.3,0
91935699,88.81,3,-23.57,74.05,0.3,0
92303132,82.54,3,-35.71,86.32,0.3,0
92809990,88.33,3,-35.0,32.39,0.3,0
93133026,100.0,3,0.0,21.81,0.3,0
93489080,85.71,3,-42.86,49.4,0.3,0
93682429,33.33,1,0.0,92.0,0.3,1
93786510,43.71,2,-52.47,91.09,0.3,1
93915612,90.48,3,-28.57,83.61,0.3,0
93925509,66.67,2,0.0,55.08,0.3,1
93973341,71.11,3,-70.0,80.8,0.3,0
95216424,100.0,3,0.0,26.17,0.3,0
95575949,92.29,3,-23.14,58.04,0.3,0
95770014,52.09,2,-26.93,96.68,0.3,1
96135262,100.0,3,0.0,6.81,0.3,0
96398572,93.24,3,-20.29,61.58,0.3,0
96706041,86.43,3,-40.71,54.66,0.3,0
96792723,83.71,3,-36.86,46.04,0.3,0
97192893,100.0,3,0.0,34.14,0.3,0
97811465,100.0,3,0.0,27.6,0.3,0
98417175,93.89,3,0.0,47.92,0.3,0
98524573,82.86,3,-51.43,70.44,0.3,0
99057590,88.24,3,-35.29,79.45,0.3,0
99355503,90.48,3,-28.57,91.6,0.3,0
99911171,0.0,0,0.0,100.0,0.3,3
11344540,100.0,4,0.0,42.15,0.4,0
11415937,66.79,3,-32.86,86.73,0.4,1
11619654,95.76,4,-8.49,27.38,0.4,0
12237308,100.0,4,0.0,40.22,0.4,0
13434594,93.03,4,-13.94,56.41,0.4,0
13489175,100.0,4,0.0,20.13,0.4,0
13584790,87.11,4,-25.77,49.04,0.4,0
14700855,94.16,4,-11.69,38.9,0.4,0
14859968,42.87,4,-51.46,87.55,0.4,0
16052899,89.93,4,-20.14,71.44,0.4,0
16112416,100.0,4,0.0,29.25,0.4,0
16153010,100.0,4,0.0,36.7,0.4,0
16367724,79.79,4,-40.43,60.94,0.4,0
16650465,88.29,4,-23.43,57.44,0.4,0
16729597,67.2,4,-48.11,81.59,0.4,0
17186416,100.0,4,0.0,52.87,0.4,0
17369011,85.47,4,-29.06,49.65,0.4,0
17650346,91.43,4,-17.14,60.35,0.4,0
17954135,90.83,4,-18.34,50.54,0.4,0
18021763,96.0,4,-8.0,64.53,0.4,0
18237587,60.55,3,-52.8,65.94,0.4,1
18256197,96.43,4,-7.14,44.93,0.4,0
18835220,84.35,4,-28.81,73.98,0.4,0
18864892,100.0,4,0.0,55.96,0.4,0
19236487,30.75,2,77.0,32.2,0.4,2
19304298,93.89,4,-12.21,38.94,0.4,0
19514933,87.86,4,-24.29,58.95,0.4,0
19516358,100.0,4,0.0,17.37,0.4,0
19546495,92.41,4,-12.68,45.85,0.4,0
19581852,68.76,4,-62.49,58.15,0.4,0
19758663,100.0,4,0.0,31.52,0.4,0
20031894,100.0,4,0.0,43.95,0.4,0
20203060,91.07,4,-17.86,64.8,0.4,0
20534390,89.76,4,-20.49,65.4,0.4,0
20774325,70.99,4,-58.03,71.72,0.4,0
21399574,91.07,4,-17.86,42.51,0.4,0
22069035,96.22,4,-6.73,42.03,0.4,0
22305824,100.0,4,0.0,20.08,0.4,0
22771717,0.0,0,0.0,43.16,0.4,4
23223428,79.52,4,-7.62,85.95,0.4,0
23706913,91.56,4,-16.89,63.08,0.4,0
24051593,94.0,4,-12.0,65.61,0.4,0
24264303,100.0,4,0.0,47.44,0.4,0
24602305,0.0,0,0.0,92.3,0.4,4
24667465,100.0,4,0.0,34.37,0.4,0
24774049,89.0,4,-22.0,35.83,0.4,0
24829216,92.64,4,-14.71,42.45,0.4,0
24925539,100.0,4,0.0,16.91,0.4,0
25053710,99.29,4,-1.43,30.94,0.4,0
25199098,87.26,4,-25.49,49.57,0.4,0
25591540,75.0,3,0.0,85.26,0.4,1
25624838,100.0,4,0.0,49.3,0.4,0
26550709,82.57,4,-34.86,49.29,0.4,0
26822069,100.0,4,0.0,29.63,0.4,0
26823453,100.0,4,0.0,52.32,0.4,0
26829717,97.5,4,-5.0,57.11,0.4,0
27183343,93.9,4,-6.2,65.52,0.4,0
27219633,91.86,4,-16.29,39.89,0.4,0
27227646,89.11,4,-21.79,53.07,0.4,0
27276779,100.0,4,0.0,24.01,0.4,0
27811787,100.0,4,0.0,25.1,0.4,0
27821042,100.0,4,0.0,23.78,0.4,0
28157718,85.69,4,-19.95,88.5,0.4,0
28747258,81.02,4,-4.62,22.8,0.4,0
28851363,100.0,4,0.0,31.63,0.4,0
29180761,71.07,4,-55.86,74.93,0.4,0
29219341,97.5,4,-5.0,21.08,0.4,0
29238104,100.0,4,0.0,2.88,0.4,0
29619407,77.71,4,-22.68,75.52,0.4,0
29965095,92.61,4,-14.77,33.03,0.4,0
30245378,80.43,4,-37.14,40.04,0.4,0
30404921,100.0,4,0.0,31.36,0.4,0
30574788,50.0,2,0.0,98.0,0.4,1
30659534,62.64,3,-49.43,58.12,0.4,1
30938596,92.06,4,-15.89,47.07,0.4,0
31044070,89.0,4,-22.0,54.25,0.4,0
31288217,87.86,4,-24.29,41.94,0.4,0
31331355,96.43,4,-7.14,79.35,0.4,0
31466812,79.73,4,-38.04,60.92,0.4,0
31483285,94.83,4,-10.34,47.25,0.4,0
31604156,98.93,4,-2.14,72.87,0.4,0
31619745,100.0,4,0.0,72.7,0.4,0
31655246,92.86,4,-14.29,76.71,0.4,0
31707417,73.78,4,-15.1,78.73,0.4,0
31783869,83.18,4,-33.64,67.87,0.4,0
31870945,89.0,4,-22.0,58.27,0.4,0
32050733,99.29,4,-1.43,47.44,0.4,0
32199265,96.43,4,-7.14,35.25,0.4,0
32202479,60.3,4,4.94,81.46,0.4,0
32534085,84.94,4,-28.45,69.31,0.4,0
32634975,53.16,4,-45.29,85.28,0.4,0
32712383,96.43,4,-7.14,60.73,0.4,0
32751216,94.07,4,-11.86,41.19,0.4,0
32779192,31.43,2,-74.29,97.0,0.4,1
32973698,100.0,4,0.0,11.26,0.4,0
33025706,73.88,4,-40.75,67.02,0.4,0
33584628,71.79,3,-12.86,74.73,0.4,1
34026803,37.93,4,-29.8,90.16,0.4,0
34085243,85.5,4,-29.0,87.35,0.4,0
34106098,64.79,3,-40.0,62.8,0.4,1
34435608,32.5,2,-30.0,96.92,0.4,2
34534147,77.07,4,-45.86,74.94,0.4,0
34826933,100.0,4,0.0,40.9,0.4,0
34836465,100.0,4,0.0,26.53,0.4,0
35195294,97.29,4,-4.58,22.09,0.4,0
35228724,65.27,4,-69.46,84.41,0.4,0
35638989,85.53,4,-28.94,82.49,0.4,0
35693299,98.93,4,-2.14,62.61,0.4,0
35961483,100.0,4,0.0,70.23,0.4,0
36207660,99.4,4,-1.2,35.63,0.4,0
36559567,79.57,4,-40.86,65.8,0.4,0
